ID	Freq	Len	Word
[1]	65	1	崖	
[2]	70	1	悬	
[3]	239	1	百	
[4]	126	1	尺	
[5]	390	1	古	
[6]	146	1	面	
[7]	16	1	削	
[8]	1627	1	一	
[9]	41	1	屏	
[10]	522	1	开	
[11]	171	1	晴	
[12]	1212	1	日	
[13]	501	1	流	
[14]	136	1	丹	
[15]	435	1	草	
[16]	1116	1	春	
[17]	1699	1	风	
[18]	714	1	长	
[19]	299	1	绿	
[20]	121	1	苔	
[21]	43	1	每	
[22]	115	1	忆	
[23]	25	1	宋	
[24]	111	1	夫	
[25]	576	1	子	
[26]	158	1	终	
[27]	604	1	年	
[28]	345	1	坐	
[29]	221	1	北	
[30]	84	1	轩	
[31]	124	1	著	
[32]	291	1	书	
[33]	73	1	良	
[34]	867	1	自	
[35]	152	1	苦	
[36]	549	1	得	
[37]	390	1	意	
[38]	304	1	好	
[39]	144	1	忘	
[40]	260	1	言	
[41]	34	1	劝	
[42]	392	1	酒	
[43]	253	1	重	
[44]	106	1	持	
[45]	102	1	杯	
[46]	577	1	深	
[47]	98	1	喜	
[48]	2813	1	不	
[49]	72	1	辞	
[50]	84	1	愿	
[51]	296	1	将	
[52]	476	1	今	
[53]	278	1	同	
[54]	18	1	保	
[55]	129	1	期	
[56]	45	1	仁	
[57]	818	1	心	
[58]	17	1	均	
[59]	176	1	动	
[60]	22	1	植	
[61]	101	1	化	
[62]	187	1	正	
[63]	7	1	邦	
[64]	469	1	家	
[65]	20	1	福	
[66]	14	1	庆	
[67]	226	1	方	
[68]	3	1	骈	
[69]	35	1	集	
[70]	103	1	灵	
[71]	21	1	符	
[72]	120	1	尚	
[73]	24	1	辟	
[74]	9	1	邪	
[75]	10	1	骤	
[76]	1325	1	来	
[77]	159	1	惊	
[78]	123	1	易	
[79]	158	1	久	
[80]	22	1	视	
[81]	38	1	益	
[82]	119	1	虚	
[83]	1361	1	无	
[84]	19	1	咫	
[85]	85	1	星	
[86]	152	1	堪	
[87]	36	1	摘	
[88]	219	1	波	
[89]	75	1	摇	
[90]	133	1	又	
[91]	42	1	走	
[92]	130	1	珠	
[93]	326	1	红	
[94]	64	1	妆	
[95]	17	1	夸	
[96]	68	1	睡	
[97]	134	1	足	
[98]	50	1	粉	
[99]	8	1	额	
[100]	17	1	趁	
[101]	122	1	颜	
[102]	126	1	惟	
[103]	1256	1	有	
[104]	788	1	江	
[105]	212	1	梅	
[106]	15	1	样	
[107]	27	1	蛾	
[108]	61	1	眉	
[109]	68	1	淡	
[110]	87	1	拂	
[111]	26	1	屈	
[112]	67	1	指	
[113]	592	1	归	
[114]	312	1	竹	
[115]	170	1	桃	
[116]	1383	1	花	
[117]	377	1	还	
[118]	256	1	应	
[119]	165	1	识	
[120]	227	1	故	
[121]	102	1	主	
[122]	32	1	烂	
[123]	73	1	漫	
[124]	45	1	吐	
[125]	85	1	霞	
[126]	155	1	近	
[127]	66	1	稀	
[128]	24	1	升	
[129]	686	1	此	
[130]	135	1	堂	
[131]	71	1	他	
[132]	205	1	留	
[133]	219	1	泉	
[134]	645	1	下	
[135]	270	1	须	
[136]	32	1	姓	
[137]	33	1	氏	
[138]	451	1	香	
[139]	65	1	滴	
[140]	1078	1	水	
[141]	46	1	添	
[142]	46	1	壶	
[143]	11	1	箭	
[144]	14	1	跳	
[145]	13	1	丸	
[146]	36	1	叠	
[147]	6	1	崦	
[148]	2	1	嵫	
[149]	177	1	只	
[150]	375	1	似	
[151]	409	1	玉	
[152]	118	1	觉	
[153]	61	1	鬓	
[154]	339	1	成	
[155]	113	1	丝	
[156]	150	1	吟	
[157]	33	1	咏	
[158]	235	1	霜	
[159]	61	1	毛	
[160]	67	1	句	
[161]	252	1	闲	
[162]	39	1	尝	
[163]	411	1	雪	
[164]	45	1	茶	
[165]	272	1	城	
[166]	1089	1	中	
[167]	27	1	展	
[168]	646	1	处	
[169]	676	1	是	
[170]	99	1	元	
[171]	1809	1	山	
[172]	16	1	泓	
[173]	864	1	上	
[174]	1210	1	云	
[175]	30	1	朵	
[176]	220	1	尘	
[177]	502	1	飞	
[178]	1169	1	月	
[179]	495	1	我	
[180]	522	1	高	
[181]	152	1	田	
[182]	130	1	二	
[183]	24	1	麦	
[184]	642	1	青	
[185]	69	1	低	
[186]	199	1	初	
