ID	Freq	Item
[1]	65	崖
[2]	70	悬
[3]	239	百
[4]	126	尺
[5]	390	古
[6]	29988	，
[7]	146	面
[8]	16	削
[9]	1627	一
[10]	41	屏
[11]	522	开
[12]	171	晴
[13]	1212	日
[14]	501	流
[15]	136	丹
[16]	435	草
[17]	1116	春
[18]	1699	风
[19]	714	长
[20]	299	绿
[21]	121	苔
[22]	9997	。
[23]	9997	

[24]	43	每
[25]	115	忆
[26]	25	宋
[27]	111	夫
[28]	576	子
[29]	158	终
[30]	604	年
[31]	345	坐
[32]	221	北
[33]	84	轩
[34]	124	著
[35]	291	书
[36]	73	良
[37]	867	自
[38]	152	苦
[39]	549	得
[40]	390	意
[41]	304	好
[42]	144	忘
[43]	260	言
[44]	34	劝
[45]	392	酒
[46]	253	重
[47]	106	持
[48]	102	杯
[49]	577	深
[50]	98	喜
[51]	2813	不
[52]	72	辞
[53]	84	愿
[54]	296	将
[55]	476	今
[56]	278	同
[57]	18	保
[58]	129	期
[59]	45	仁
[60]	818	心
[61]	17	均
[62]	176	动
[63]	22	植
[64]	101	化
[65]	187	正
[66]	7	邦
[67]	469	家
[68]	20	福
[69]	14	庆
[70]	226	方
[71]	3	骈
[72]	35	集
[73]	103	灵
[74]	21	符
[75]	120	尚
[76]	24	辟
[77]	9	邪
[78]	10	骤
[79]	1325	来
[80]	159	惊
[81]	123	易
[82]	158	久
[83]	22	视
[84]	38	益
[85]	119	虚
[86]	1361	无
[87]	19	咫
[88]	85	星
[89]	152	堪
[90]	36	摘
[91]	219	波
[92]	75	摇
[93]	133	又
[94]	42	走
[95]	130	珠
[96]	326	红
[97]	64	妆
[98]	17	夸
[99]	68	睡
[100]	134	足
[101]	50	粉
[102]	8	额
[103]	17	趁
[104]	122	颜
[105]	126	惟
[106]	1256	有
[107]	788	江
[108]	212	梅
[109]	15	样
[110]	27	蛾
[111]	61	眉
[112]	68	淡
[113]	87	拂
[114]	26	屈
[115]	67	指
[116]	592	归
[117]	312	竹
[118]	170	桃
[119]	1383	花
[120]	377	还
[121]	256	应
[122]	165	识
[123]	227	故
[124]	102	主
[125]	32	烂
[126]	73	漫
[127]	45	吐
[128]	85	霞
[129]	155	近
[130]	66	稀
[131]	24	升
[132]	686	此
[133]	135	堂
[134]	71	他
[135]	205	留
[136]	219	泉
[137]	645	下
[138]	270	须
[139]	32	姓
[140]	33	氏
[141]	451	香
[142]	65	滴
[143]	1078	水
[144]	46	添
[145]	46	壶
[146]	11	箭
[147]	14	跳
[148]	13	丸
[149]	36	叠
[150]	6	崦
[151]	2	嵫
[152]	177	只
[153]	375	似
[154]	409	玉
[155]	118	觉
[156]	61	鬓
[157]	339	成
[158]	113	丝
[159]	150	吟
[160]	33	咏
[161]	235	霜
[162]	61	毛
[163]	67	句
[164]	252	闲
[165]	39	尝
[166]	411	雪
[167]	45	茶
[168]	272	城
[169]	1089	中
[170]	27	展
[171]	646	处
[172]	676	是
[173]	99	元
[174]	1809	山
[175]	16	泓
[176]	864	上
[177]	1210	云
[178]	30	朵
[179]	220	尘
[180]	502	飞
[181]	1169	月
[182]	495	我
[183]	522	高
[184]	152	田
[185]	130	二
[186]	24	麦
[187]	642	青
[188]	69	低
[189]	199	初
[190]	64	邻
[191]	131	翁
[192]	64	唤
[193]	4	赛
[194]	142	神
[195]	292	枝
[196]	433	头
[197]	200	鸣
[198]	31	布
[199]	121	谷
[200]	58	塞
[201]	409	三
[202]	602	千
[203]	596	里
[204]	915	天
[205]	255	十
[206]	78	骨
[207]	441	出
[208]	245	龙
[209]	455	门
[210]	339	复
[211]	363	入
[212]	301	望
[213]	614	君
[214]	517	可
[215]	180	怜
[216]	266	鸟
[217]	372	尽
[218]	146	斜
[219]	8	曛
[220]	7	岘
[221]	74	奇
[222]	48	境
[223]	26	饶
[224]	113	洞
[225]	97	藏
[226]	309	幽
[227]	173	寻
[228]	146	但
[229]	69	借
[230]	51	玄
[231]	61	猿
[232]	121	宿
[233]	102	虽
[234]	33	适
[235]	113	口
[236]	58	味
[237]	63	暖
[238]	87	功
[239]	68	比
[240]	25	菜
[241]	134	登
[242]	88	盘
[243]	484	多
[244]	17	逆
[245]	56	耳
[246]	253	海
[247]	292	孤
[248]	72	帆
[249]	75	交
[250]	28	杂
[251]	473	树
[252]	95	美
[253]	2165	人
[254]	167	晓
[255]	122	眠
[256]	370	更
[257]	594	在
[258]	487	林
[259]	369	远
[260]	502	客
[261]	43	厌
[262]	63	征
[263]	382	路
[264]	178	逢
[265]	90	素
[266]	851	秋
[267]	809	知
[268]	727	夜
[269]	280	照
[270]	320	几
[271]	302	愁
[272]	73	昨
[273]	168	至
[274]	171	庭
[275]	419	前
[276]	621	落
[277]	372	叶
[278]	172	遥
[279]	585	未
[280]	687	相
[281]	707	见
[282]	461	欲
[283]	863	如
[284]	1283	何
[285]	10	趺
[286]	86	傍
[287]	138	根
[288]	64	圆
[289]	627	空
[290]	5	慧
[291]	52	性
[292]	51	存
[293]	48	法
[294]	231	华
[295]	19	堆
[296]	215	难
[297]	434	与
[298]	240	世
[299]	81	论
[300]	272	游
[301]	236	仙
[302]	316	梦
[303]	747	清
[304]	98	观
[305]	14	恍
[306]	67	瑶
[307]	180	台
[308]	187	临
[309]	177	共
[310]	37	攀
[311]	25	玩
[312]	8	扪
[313]	55	萝
[314]	34	省
[315]	176	所
[316]	56	历
[317]	165	忽
[318]	68	鸿
[319]	13	值
[320]	484	万
[321]	72	羽
[322]	16	超
[323]	153	绝
[324]	224	柳
[325]	113	州
[326]	6	粗
[327]	151	疏
[328]	16	郑
[329]	254	诗
[330]	34	扁
[331]	279	舟
[332]	100	钓
[333]	181	曾
[334]	779	时
[335]	149	解
[336]	28	追
[337]	22	尤
[338]	266	非
[339]	23	治
[340]	35	郡
[341]	80	才
[342]	132	鹤
[343]	48	怨
[344]	44	怪
[345]	238	两
[346]	1	䳺
[347]	4	鹑
[348]	292	小
[349]	12	啄
[350]	29	粟
[351]	41	肥
[352]	155	沙
[353]	697	寒
[354]	82	栖
[355]	113	定
[356]	334	起
[357]	270	向
[358]	460	南
[359]	100	折
[360]	222	者
[361]	189	随
[362]	19	蜂
[363]	62	蝶
[364]	273	思
[365]	18	量
[366]	30	妨
[367]	98	底
[368]	425	事
[369]	39	蕊
[370]	19	续
[371]	94	荒
[372]	1	墩
[373]	101	渔
[374]	39	竞
[375]	38	泊
[376]	13	沽
[377]	18	邀
[378]	398	烟
[379]	189	真
[380]	158	乐
[381]	66	壑
[382]	402	亦
[383]	224	安
[384]	69	桂
[385]	343	道
[386]	96	偶
[387]	180	之
[388]	272	岁
[389]	492	色
[390]	202	醉
[391]	46	痕
[392]	227	边
[393]	376	溪
[394]	500	声
[395]	84	枕
[396]	193	旧
[397]	401	已
[398]	272	别
[399]	143	经
[400]	129	村
[401]	160	送
[402]	112	佳
[403]	69	乾
[404]	38	坤
[405]	398	老
[406]	152	曲
[407]	81	逐
[408]	43	峡
[409]	297	松
[410]	123	径
[411]	192	凉
[412]	83	岭
[413]	117	合
[414]	375	西
[415]	11	尖
[416]	150	手
[417]	413	新
[418]	19	抽
[419]	178	数
[420]	46	寸
[421]	62	条
[422]	30	殷
[423]	59	勤
[424]	751	雨
[425]	275	露
[426]	35	霄
[427]	69	乌
[428]	318	衣
[429]	29	巷
[430]	97	燕
[431]	31	矶
[432]	93	川
[433]	63	仍
[434]	127	昔
[435]	10	灶
[436]	143	乱
[437]	55	凭
[438]	238	湖
[439]	44	渺
[440]	121	岸
[441]	238	阴
[442]	39	就
[443]	148	残
[444]	126	点
[445]	31	絮
[446]	77	伴
[447]	658	去
[448]	131	种
[449]	110	莲
[450]	17	巳
[451]	65	没
[452]	86	镜
[453]	28	改
[454]	88	帘
[455]	156	垂
[456]	17	幕
[457]	228	半
[458]	87	卷
[459]	140	冷
[460]	47	被
[461]	726	为
[462]	54	魂
[463]	350	过
[464]	63	潇
[465]	113	湘
[466]	103	步
[467]	334	阳
[468]	186	四
[469]	130	悠
[470]	46	哉
[471]	349	莫
[472]	341	黄
[473]	76	昏
[474]	97	会
[475]	620	明
[476]	195	少
[477]	29	伯
[478]	168	居
[479]	11	螺
[480]	7	纹
[481]	53	彩
[482]	4	奁
[483]	320	犹
[484]	29	施
[485]	502	行
[486]	99	惜
[487]	180	轻
[488]	153	离
[489]	277	吹
[490]	62	蒲
[491]	18	苇
[492]	74	丛
[493]	77	及
[494]	238	当
[495]	120	早
[496]	23	湛
[497]	6	滓
[498]	81	绕
[499]	13	砌
[500]	20	彻
[501]	99	浪
[502]	711	生
[503]	20	萦
[504]	7	纡
[505]	43	支
[506]	202	公
[507]	21	销
[508]	68	夏
[509]	219	五
[510]	265	晚
[511]	17	宠
[512]	92	悲
[513]	48	扇
[514]	65	恩
[515]	124	寄
[516]	100	聊
[517]	31	题
[518]	127	片
[519]	48	接
[520]	121	和
[521]	13	戎
[522]	140	汉
[523]	18	妃
[524]	25	亡
[525]	77	吴
[526]	38	越
[527]	30	鬼
[528]	83	妾
[529]	24	赐
[530]	51	臣
[531]	25	孰
[532]	45	受
[533]	16	卢
[534]	17	弓
[535]	6	矢
[536]	49	寿
[537]	39	延
[538]	65	理
[539]	13	医
[540]	108	死
[541]	58	忧
[542]	5	髓
[543]	48	畏
[544]	25	膏
[545]	2	肓
[546]	3	楞
[547]	4	伽
[548]	5	择
[549]	1	娣
[550]	40	弟
[551]	21	班
[552]	24	宗
[553]	98	宜
[554]	39	宅
[555]	200	馀
[556]	22	韵
[557]	11	舂
[558]	114	容
[559]	158	太
[560]	7	辅
[561]	32	严
[562]	405	东
[563]	31	京
[564]	395	独
[565]	8	汾
[566]	226	亭
[567]	236	名
[568]	152	园
[569]	101	直
[570]	84	挂
[571]	37	广
[572]	122	陵
[573]	56	禽
[574]	128	雁
[575]	150	乡
[576]	312	闻
[577]	13	蛩
[578]	40	织
[579]	42	妇
[580]	190	笑
[581]	242	语
[582]	589	谁
[583]	176	微
[584]	138	度
[585]	125	急
[586]	58	洒
[587]	60	斋
[588]	133	散
[589]	14	飙
[590]	48	泠
[591]	304	然
[592]	369	金
[593]	80	音
[594]	17	箫
[595]	14	韶
[596]	52	衰
[597]	1	邬
[598]	102	渡
[599]	17	赵
[600]	29	围
[601]	201	物
[602]	147	常
[603]	53	涛
[604]	13	胆
[605]	101	阁
[606]	49	渚
[607]	4	瀼
[608]	149	怀
[609]	5	郢
[610]	25	唱
[611]	68	枯
[612]	101	杨
[613]	285	大
[614]	50	堤
[615]	6	鸲
[616]	7	鹆
[617]	6	窠
[618]	104	使
[619]	51	武
[620]	160	王
[621]	111	士
[622]	63	俱
[623]	132	学
[624]	65	佛
[625]	196	以
[626]	6	财
[627]	41	供
[628]	25	费
[629]	41	滩
[630]	68	荡
[631]	17	桨
[632]	39	卿
