ID	Prob	Len	Word	Freq	Score
[1]	0.000235199	1	崖	65	inf
[2]	0.000304009	1	悬	70	inf
[3]	0.000349986	1	百	239	inf
[4]	0.000159055	1	尺	126	inf
[5]	0.000673497	1	古	390	inf
[6]	0.000546393	1	面	146	inf
[7]	9.29168e-005	1	削	16	inf
[8]	0.00322589	1	一	1627	inf
[9]	0.000143593	1	屏	41	inf
[10]	0.00179579	1	开	522	inf
[11]	0.000439608	1	晴	171	inf
[12]	0.00179369	1	日	1212	inf
[13]	0.00110953	1	流	501	inf
[14]	0.000280724	1	丹	136	inf
[15]	0.000723313	1	草	435	inf
[16]	0.0024203	1	春	1116	inf
[17]	0.00189597	1	风	1699	inf
[18]	0.00234186	1	长	714	inf
[19]	0.000973587	1	绿	299	inf
[20]	0.000154472	1	苔	121	inf
[21]	0.000270545	1	每	43	inf
[22]	0.000388033	1	忆	115	inf
[23]	9.33767e-005	1	宋	25	inf
[24]	0.000172662	1	夫	111	inf
[25]	0.0014034	1	子	576	inf
[26]	0.000359312	1	终	158	inf
[27]	0.000620851	1	年	604	inf
[28]	0.00135394	1	坐	345	inf
[29]	0.000395726	1	北	221	inf
[30]	0.000284745	1	轩	84	inf
[31]	0.000495154	1	著	124	inf
[32]	0.000826548	1	书	291	inf
[33]	0.000265979	1	良	73	inf
[34]	0.00213829	1	自	867	inf
[35]	0.000467243	1	苦	152	inf
[36]	0.00139172	1	得	549	inf
[37]	0.00130696	1	意	390	inf
[38]	0.0013318	1	好	304	inf
[39]	0.000336666	1	忘	144	inf
[40]	0.000728301	1	言	260	inf
[41]	8.73379e-005	1	劝	34	inf
[42]	0.000997329	1	酒	392	inf
[43]	0.000762383	1	重	253	inf
[44]	0.000361365	1	持	106	inf
[45]	0.000265037	1	杯	102	inf
[46]	0.00149316	1	深	577	inf
[47]	0.000483566	1	喜	98	inf
[48]	0.00311667	1	不	2813	inf
[49]	0.000344948	1	辞	72	inf
[50]	0.000293572	1	愿	84	inf
[51]	0.000987414	1	将	296	inf
[52]	0.00064926	1	今	476	inf
[53]	0.0011855	1	同	278	inf
[54]	8.82232e-005	1	保	18	inf
